,Model,Test_Year,Train_Years,Train_Rows,Test_Rows,Train_Time_Seconds,R2,RMSE,MAE,Total_Run_Time_Seconds,Target
173,et,2023,2019–2022,1000,247,5.3381,0.010800104422380885,0.03480006069259833,0.027007199198208022,58.786,Gold-T+21
174,et,2024,2020–2023,999,249,3.6893,-0.36079462571371246,0.03955990048743952,0.032086363534175474,58.786,Gold-T+21
175,et,2025,2021–2024,997,177,4.0706,-0.6786185289432329,0.05222874159332386,0.041182919822102974,58.786,Gold-T+21
176,rf,2015,2011–2014,989,249,7.3866,-0.04741553655536834,0.04152259192893177,0.032583020655871785,101.318,Gold-T+21
177,rf,2016,2012–2015,987,247,9.7173,-0.11594955522606543,0.052620842636735644,0.0444642724992435,101.318,Gold-T+21
178,rf,2017,2013–2016,990,246,9.7913,-0.5724603415242873,0.03762946457847873,0.031084612489052414,101.318,Gold-T+21
179,rf,2018,2014–2017,988,247,7.1096,0.0787841845302718,0.023523019653245568,0.01979314160865765,101.318,Gold-T+21
180,rf,2019,2015–2018,989,248,8.2142,-0.2245349449525773,0.035536743648639124,0.02720318074576978,101.318,Gold-T+21
181,rf,2020,2016–2019,988,251,8.2157,-0.06040117622513819,0.04403175145878003,0.03379160692523443,101.318,Gold-T+21
182,rf,2021,2017–2020,992,251,6.4042,-0.10079958132004307,0.03836181466424601,0.031032325290529086,101.318,Gold-T+21
183,rf,2022,2018–2021,997,250,8.3138,0.0023331868050699978,0.04413485917791458,0.03714869076004483,101.318,Gold-T+21
184,rf,2023,2019–2022,1000,247,7.3644,-0.032463822482535765,0.035552929521011786,0.028131349364248402,101.318,Gold-T+21
185,rf,2024,2020–2023,999,249,9.3542,-0.36079462571371246,0.03955990048743952,0.032086363534175474,101.318,Gold-T+21
186,rf,2025,2021–2024,997,177,6.8888,-0.7501181634958378,0.053329466827613074,0.042240841391925237,101.318,Gold-T+21
187,gbr,2015,2011–2014,989,249,18.3599,-0.04716596241986415,0.04151764471266074,0.03258061970960382,139.957,Gold-T+21
188,gbr,2016,2012–2015,987,247,9.9112,-0.08813874975869274,0.05196101844500893,0.040879524479821676,139.957,Gold-T+21
189,gbr,2017,2013–2016,990,246,14.4355,-0.8073409493382593,0.040342075019534844,0.033638066272303736,139.957,Gold-T+21
190,gbr,2018,2014–2017,988,247,13.9962,0.08643904370276323,0.023425083303175647,0.018775345344444937,139.957,Gold-T+21
191,gbr,2019,2015–2018,989,248,11.3407,-0.2310991136119731,0.03563186441377853,0.02719443577609746,139.957,Gold-T+21
192,gbr,2020,2016–2019,988,251,9.8203,-0.027346564370072768,0.043340043898089584,0.033691937613536484,139.957,Gold-T+21
193,gbr,2021,2017–2020,992,251,9.4747,-0.10484003860056212,0.03843215321913541,0.031062529022559383,139.957,Gold-T+21
194,gbr,2022,2018–2021,997,250,9.218,-0.0021249355476027354,0.044233358638377795,0.037036991704788996,139.957,Gold-T+21
195,gbr,2023,2019–2022,1000,247,11.3627,-0.0052164729657746545,0.03508066108584813,0.02739946395887013,139.957,Gold-T+21
196,gbr,2024,2020–2023,999,249,11.2033,-0.33263744539912676,0.03914847993645193,0.031808882923822,139.957,Gold-T+21
197,gbr,2025,2021–2024,997,177,9.4238,-0.8784246819425794,0.055249766732302974,0.04282490542613295,139.957,Gold-T+21
198,catboost,2015,2011–2014,989,249,59.3534,0.08119122860640071,0.03888996172663535,0.030092358917416358,632.132,Gold-T+21
199,catboost,2016,2012–2015,987,247,49.3204,-0.09645663106605018,0.05215923892303415,0.04108540029458668,632.132,Gold-T+21
200,catboost,2017,2013–2016,990,246,51.5199,-0.6889500384147229,0.03899838206287996,0.0319578418929857,632.132,Gold-T+21
201,catboost,2018,2014–2017,988,247,64.9813,-0.39049433867560857,0.02889994333696596,0.023305699296629588,632.132,Gold-T+21
202,catboost,2019,2015–2018,989,248,54.7251,-0.22141950532869425,0.035491508889239604,0.026979706856806823,632.132,Gold-T+21
203,catboost,2020,2016–2019,988,251,53.1863,-0.0270785143807466,0.043334389498402306,0.03369118510928058,632.132,Gold-T+21
204,catboost,2021,2017–2020,992,251,48.5312,-0.10034297634811717,0.03835385771532238,0.031026502398879087,632.132,Gold-T+21
